text	label	label_binary	source
I can't believe my ex didn't pay his car note and had the nerve to ask me for some money.	0	0	Sarcasm_premise
But then the paper would not find out about your bigamist marriage.	0	0	Idiom_premise
Last week my kid said some really mean things to me, I thought I raised him better.	0	0	CreativeParaphrase_premise
The gravy was so fatty, it made the meat taste greasy.	0	0	Metaphor_premise
He pulls a giant disc out and flashes it like a knockoff rolex .	3	1	Simile_hypothesis
I'm ashamed that I don't have enough money in my savings account	0	0	CreativeParaphrase_premise
The latest intelligence is hidden to all command posts.	0	0	Metaphor_premise
He realized he wouldn't be able to start before the deadline.	0	0	Idiom_premise
I was a professional from Berlin in Germany and lacking energy and vigor.	0	0	Idiom_premise
Some bright young thing had gotten ahold of a shot of lexi in her wedding dress.	2	1	Idiom_hypothesis
Even though she's big, she's not very brave-and when she's on the ground, she's clumsy.	0	0	Simile_premise
Then as I gathered courage to go down I realized there was a fire across the street, but it seems to not be out of control now.	0	0	Idiom_premise
I have a bunch of flies in my room and it's driving me nuts that I cannot seem to get rid of them.!	0	0	Sarcasm_premise
“I might be mistaken, but Sean's father looked a bit tired and emotional at the picnic, didn't he?	2	1	Idiom_hypothesis
Her movements like a strange strip tease .	3	1	Simile_hypothesis
His political ideas is never reflected in his lectures.	0	0	Metaphor_premise
I had to leave my childhood home, and am grateful all my cherished memories are now gone	1	1	Sarcasm_hypothesis
I was looking forward to a picnic on Sunday but I'm gutted it will be raining.	0	0	Sarcasm_premise
She swears they would have loved me because all they ever cared about was her happiness, and with me, she is like a golden eagle who swooped around the skies for years before finding its one true mate.	3	1	Simile_hypothesis
My friend left the house in dirt.	0	0	Sarcasm_premise
Relax and don't worry!.	0	0	Idiom_premise
I was only person who didn't get their food after everyone else already placed their orders which is fine, I just love having loads of my time wasted.	1	1	Sarcasm_hypothesis
I am not scared of bats at all, so what if they are creepy and weird.	1	1	Sarcasm_hypothesis
Recently I ate at a restaurant and the whole place smelled terrible, just like a bouquet of roses.	1	1	Sarcasm_hypothesis
See the sun at its blazing redest, in a sky gone black.	0	0	Metaphor_premise
You both have something pressing to say, time is plenty.	0	0	Simile_premise
It was a quick fire that burned between them.	0	0	Simile_premise
I feel great that I accidentally broke the statuette my grandmother gave to my sister	1	1	Sarcasm_hypothesis
Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?	4	1	Metaphor_hypothesis
If it was the other way around, she'd tell you to sling your hook.	2	1	Idiom_hypothesis
By the creek, alone on horseback, when they were young, she would sing him like a lullaby-soothed baby .	3	1	Simile_hypothesis
He felt a wave of excitement.	4	1	Metaphor_hypothesis
The rich man was a very kind-hearted person.	0	0	Metaphor_premise
I was in good spirits when I lost my job and had to scramble to find a new one.	1	1	Sarcasm_hypothesis
I had been looking at pictures of car crashes and now I am confident to drive anywhere	1	1	Sarcasm_hypothesis
It's awesome when my friend who I had plans with for the past month cancels on me	1	1	Sarcasm_hypothesis
rule of thumb is escape while you're on the move.	2	1	Idiom_hypothesis
My co-worker always manages to ruin my day, I look forward to it so much.	1	1	Sarcasm_hypothesis
I docked on life thirty years ago.	0	0	Metaphor_premise
My words sounded strong .	0	0	Simile_premise
The woman was as simple-minded as calculus	3	1	Simile_hypothesis
The heavenly sight of all the fruit flies around the garbage made me feel like I was going to vomit	1	1	Sarcasm_hypothesis
Every person has bitter memories.	4	1	Metaphor_hypothesis
I left my phone on the bus last night as I was coming home.	0	0	Sarcasm_premise
Oh, baby, we both know that if you throw down the gauntlet I 'll be only too happy to pick it up.	2	1	Idiom_hypothesis
I feel guilty as a parent because I don't like to participate in a lot of my children's school activities. 	0	0	CreativeParaphrase_premise
The argument is written well	0	0	Simile_premise
Duryodhan was the black sheep of the Kuru dynasty.	4	1	Metaphor_hypothesis
Even though you decline, the man is still persistent.	0	0	Simile_premise
My favorite team blew a big lead in the playoffs.	0	0	Sarcasm_premise
It was as if she were floating in something light and airy, but she was still pushing as hard as she could.	0	0	Simile_premise
I just love it when people smoke near me at work when I am trying to focus.	1	1	Sarcasm_hypothesis
All was loud and colorful	0	0	Simile_premise
The book lacked imagination and was totally boring to read.	0	0	Metaphor_premise
My experienced ear could tell right away that it was the compressor getting ready to give up the ghost again...	2	1	Idiom_hypothesis
I swear to God that I am telling the truth	0	0	Idiom_premise
I'm jealous of anyone who doesn't have to deal with student loan debt!	0	0	CreativeParaphrase_premise
I clean my house every week and last time I had to clean my toilet, I almost threw up.	0	0	CreativeParaphrase_premise
The way they shade and sarcasm each other is hilarious.	0	0	Simile_premise
his sensitive ears picked up every sound, it was still quiet.	0	0	Simile_premise
Maybe they think the living will toe the line once they realize there won't be a second life waiting for them.	2	1	Idiom_hypothesis
Then it's proceeding as expected to a whole bunch of other stuff.	0	0	Idiom_premise
Ken asked in a hinting and suggestive kind of a way.	0	0	Idiom_premise
Avalanche protected everything that fell down.	0	0	Metaphor_premise
Then you can't think you're gon na go it alone.	2	1	Idiom_hypothesis
