text	label	label_binary	source
That building looks very strong	0	0	Simile_premise
I was really agonizing over this decision for years.	0	0	Metaphor_premise
I was so cheerful when I came outside this morning and found my car had been broken into	1	1	Sarcasm_hypothesis
Their language broadcasts us to believe them.	4	1	Metaphor_hypothesis
For centuries, the ruler has made life like a dreary prison.	3	1	Simile_hypothesis
I hear his voice, light and friendly, as he comes up alongside me.	0	0	Simile_premise
The windows are straight and the ceiling is sloped in the garret.	0	0	Simile_premise
I feel pathetic	0	0	Simile_premise
My instincts allowed him to be very considerate and respectful of my feelings this afternoon.	0	0	Idiom_premise
He was living in his dream world  shutting his eyes in front of reality.	4	1	Metaphor_hypothesis
The break room looks delightful because someone considerate left their dirty dishes in the microwave	1	1	Sarcasm_hypothesis
"you should have sent them away the minute you realized the earrings were gone,"" he heard himself say, and each word was like a crystal thunderclap"	3	1	Simile_hypothesis
The house is ugly	0	0	Simile_premise
The fact that my boyfriend was commenting on other girl's facebook photos made me feel really secure.	1	1	Sarcasm_hypothesis
It was really crazy when people started running out of the theater.	0	0	Metaphor_premise
I am overjoyed that my flight has been delayed for 7 hours because of this lousy weather	1	1	Sarcasm_hypothesis
I was eagerly waiting for my package and when the mailman drove by my house without delivering it, I was really thrilled.	1	1	Sarcasm_hypothesis
I almost crashed my car because the guy that cut me off was being so reckless	0	0	CreativeParaphrase_premise
I robbed my coworker wallet last week.	0	0	CreativeParaphrase_premise
I felt pretty down when I found out that I was losing my job.	0	0	CreativeParaphrase_premise
The girl choked on her words during the conversation.	0	0	Metaphor_premise
A co-worker stole my lunch I believe and I ended up having to skip a meal	0	0	Sarcasm_premise
The window panes were shaking as the wind blew through them.	4	1	Metaphor_hypothesis
When I came back from my vacation, I was elated when I found that there is a rat in my garden	1	1	Sarcasm_hypothesis
She made it sound fluid and ever-changing, although it would be one of the hardest things she'd ever had to go through.	0	0	Idiom_premise
I was so anxious to get home but hitting every red light resulting in the possibility of mre getting late made me really thankful.	1	1	Sarcasm_hypothesis
I tried to make a new dish last night for dinner but when it tasted too gross I had to throw it out.	0	0	CreativeParaphrase_premise
I invested in cryptocurrency last year but the market is looking pretty bad.	0	0	Sarcasm_premise
Turns out, tag between super heroes can get pretty intense.	0	0	Simile_premise
I really enjoyed the fact that my roommate's departure without cleaning up caused me to have to clean his side of the room and the housing department fined me as a result	1	1	Sarcasm_hypothesis
He was in a difficult and challenging situation and didn't even know how to get himself out of it.	0	0	Idiom_premise
It's great that my parents saved me from the excitement of going to Disney as a kid by telling me we couldn't afford it.	1	1	Sarcasm_hypothesis
I am so angry to see media reporting news without fact checking these days.. It is harming the country	0	0	Sarcasm_premise
I love it that my hygienic roommate thinks it's okay not to use soap when she washes her dishes	1	1	Sarcasm_hypothesis
I'm waiting on some test results from the Dr. and it's taking forever.	0	0	Sarcasm_premise
I had to move away from my childhood home, all my memories were there.	0	0	Sarcasm_premise
I was so thrilled to see a video of a burger at Wendy's crawling with spiders	1	1	Sarcasm_hypothesis
Well get cracking on the shop.	2	1	Idiom_hypothesis
It's amusing how things always change and just keep happening in different ways.	0	0	Idiom_premise
The interior was cramped and shabby.	0	0	Simile_premise
I have a day off tomorrow and my throat is starting to hurt.	0	0	Sarcasm_premise
He enjoyed his job, even though it was not very exciting or special.	0	0	Idiom_premise
He said that the leaders will have to deal with a lot of resentment.	0	0	Metaphor_premise
I drank a bit too much the other night and destroyed some things in my friend's apartment.	0	0	Sarcasm_premise
He swept aside my objections.	4	1	Metaphor_hypothesis
She drowned her trouble in alcohol.	4	1	Metaphor_hypothesis
Stock prices are rocketing higher.	4	1	Metaphor_hypothesis
I got up on stage and completely made a fool of myself	0	0	Sarcasm_premise
When I moved into my apartment it was full of bugs	0	0	Sarcasm_premise
When I go to the mall to buy clothes I always feel so envious of others who are buying expensive items.	0	0	Sarcasm_premise
The airplane smelled like vomit and dirty diapers, suggesting that it was spotlessly clean!	1	1	Sarcasm_hypothesis
My dog got sick all over the floor and the smell was foul.	0	0	Sarcasm_premise
I broke my mother's prized teapot.	0	0	Sarcasm_premise
You say you're just like us, a flame-driven puppet; but ive been watching you, and you move like a ballet dancer, girl!	3	1	Simile_hypothesis
"It weighs nine pounds,"" said Dr. White sheepishly."	0	0	Simile_premise
Rahul did not drink his glass.	0	0	Metaphor_premise
Even though you both have something pressing to say, time is unlimited.	0	0	Simile_premise
I hope your situation is out of control.	0	0	Idiom_premise
I have someone always asking me questions about how to use mobile.	0	0	Sarcasm_premise
In this miserable place where life is full of sorrow and tragedy - blah blah blah.	0	0	Idiom_premise
My daughter cannot follow simple directions because she is glued to her phone	0	0	Sarcasm_premise
The character knows their universe is fictional, everyone thinks they are crazy for believing it.	0	0	Simile_premise
I was delighted when my laptop got ruined after my toddler spilled water on it.	1	1	Sarcasm_hypothesis
I went to a baby shower for my friend the other day only to realize I bought a present for a baby boy and not a baby girl!	0	0	Sarcasm_premise
The library grew back in an ugly way	0	0	Simile_premise
The fact that my car broke down and I missed my promotion meeting made me feel like the world was my oyster.	1	1	Sarcasm_hypothesis
take it from me, the human heart is much more capable than we give it credit for.	2	1	Idiom_hypothesis
There was the obstacle for him to take the plunge and satisfy his curiosity.	2	1	Idiom_hypothesis
Their reactions werent typical, and to the best of my knowledge, they didn't go back inside the building and cry foul.	2	1	Idiom_hypothesis
I was ecstatic when I accidentally broke my mothers vintage tea pot	1	1	Sarcasm_hypothesis
Yesterday I wasn't paying attention while driving and almost hit a person in a crosswalk.	0	0	CreativeParaphrase_premise
It felt like forever to come back to the cricket field, but when they arrived, the battle was still going on at maximum speed	0	0	Idiom_premise
My birthday was yesterday and I didn't get a single happy birthday message from anybody family or friends.	0	0	CreativeParaphrase_premise
I was so overjoyed when I got cut off that I celebrated by crashing my car into a pole to avoid colliding with someone	1	1	Sarcasm_hypothesis
The book caught her imagination.	0	0	Metaphor_premise
I bought headphone cords and didn't realize how short they were.	0	0	Sarcasm_premise
Last weekend my friends and I went away on holiday and two of them got belligerent drunk and completely ruined the night.	0	0	Sarcasm_premise
The residents of this village adhered to catholicism.	4	1	Metaphor_hypothesis
I spent the last 4 days cramming for this final, but still ended up having to guess on some of the questions on the test.	0	0	CreativeParaphrase_premise
Sometime I have problem respecting my sleep schedule and I wake up tired.	0	0	Sarcasm_premise
My daughter's boyfriend got drunk and attacked my husband.	0	0	CreativeParaphrase_premise
Once I was complaining about an annoying client to my coworkers, and when I left I saw she had been sitting outside the door the entire time.	0	0	Sarcasm_premise
The girl's personality was sweet.	0	0	Simile_premise
After a stressful day at work I found my car's tires had been slashed and I couldn't help but scream.	0	0	Sarcasm_premise
You give as good as you get.	2	1	Idiom_hypothesis
Her eyes were huge and her mouth was shut as she saw me looking at it, and she smirked.	0	0	Simile_premise
I was so mad when my friend forgot my birthday.	0	0	Sarcasm_premise
I was so excited to receive a job offer, but when I found out the salary was lower than what I currently make, it made me feel on top of the world.	1	1	Sarcasm_hypothesis
It makes me delighted when I see thoughtful people not following the speed limit in a school zone and caring about children getting injured	1	1	Sarcasm_hypothesis
I was pleased to see a fly in the food that I was served at the restaurant	1	1	Sarcasm_hypothesis
We use our own custom software, so we can offer much more precision than what you can find off the shelf.' , the CEO exclaimed”	2	1	Idiom_hypothesis
The charges were exaggerated.	0	0	Metaphor_premise
He said he was aware of the sensitivity of this assignment, but she would be lazy and super reluctant to remind him.	0	0	Idiom_premise
This new printer is soooo great and I absolutely love how it's grinding on my nerves.	1	1	Sarcasm_hypothesis
The violin concerto sounded natural after the danger we had just passed.	0	0	Simile_premise
