id	premise	hypothesis	label	explanation	split	type	idiom
1	I left my adult son home for a few days and just came back to a sink full of gross old dishes.	I was gone for only a few days and my considerate adult son just let the sink fill up with dirty dishes, making me feel really happy	Contradiction	Most people would not consider leaving dirty dishes in the sink for days as a considerate thing to do and so the son's actions cannot make the speaker feel happy.	train	Sarcasm	
2	I just caught a guy picking up used chewing gum and he put it in his mouth.	it was such a pleasant sight to see a guy picking up used chewing gum; and he put it in his mouth	Contradiction	Picking up used chewing gum is really unhygienic and gross and so it cannot be considered a pleasant sight.	train	Sarcasm	
3	You could feel their sudden appearance in the farmhouse.	Their sudden appearance in the farmhouse was like a gust of arctic wind.	Entailment	A gust of arctic wind is an icy blast that is felt suddenly and intensely.	train	Simile	
4	April's had never left, perfectly white and full .	April's had never left, like a toothpaste commercial .	Entailment	A toothpaste commercial is something that is always there, and is perfectly white and full.	train	Simile	
5	I cooked a meal for family and it came out horribly.	I feel terrible that the meal I cooked for my family didn't turn out well	Entailment	It is often very embarrassing when someone cooks a meal for others and it does not taste good because it reflects poorly on their abilities	train	CreativeParaphrase	
6	My soul was a complete mess and she was the cause of it.	My soul was a lampless sea and she was the tempest.	Entailment	Here, the protagonist's soul was a complete mess similar to a lampless sea, i.e., an ocean without a lighthouse whereas she was the tempest, i.e., the storm in the ocean.	train	Metaphor	
7	I docked on life thirty years ago.	I embarked on life thirty years ago.	Contradiction	To embark on something means to begin a journey, while to dock on something means to come to a stop, hence the statements contradict to each other.	train	Metaphor	
8	My apartment had been flooded by my irresponsible neighbor who lives a floor above me.	I was disgusted to find my apartment flooded by my irresponsible neighbor who lives a floor above me	Entailment	It is very inconsiderate to flood someone's apartment and if it is done by a neighbor who should know better it is likely to be met with disgust	train	CreativeParaphrase	
9	The Senator praised the administration in his speech on Friday.	The Senator dissed the administration in his speech on Friday.	Contradiction	To diss someone means to show disrespect or disapproval towards them, while to praise someone means to express admiration or approval.	train	Metaphor	
10	She gets to waste her days sucking back tequila and lorazepam and here you are, still struggling to not earn a salary.	She gets to waste her days sucking back tequila and lorazepam and here you are, still struggling to bring home the bacon.	Contradiction	To bring home the bacon means to earn a salary, but in this sentence the person is struggling not to earn a salary.	train	Idiom	bring home the bacon
11	The heavy rain made channels in the soil.	The heavy rain guttered the soil.	Entailment	Guttering the soil means that the rain created channels in the soil.	train	Metaphor	
12	he was feeling very depressed.	he was feeling down hurt and sad.	Entailment	Feeling down suggests he was depressed.	train	Metaphor	
13	he is a coward	He is as brave as a cow	Entailment	Cows are not known to be brave animals, so the simile is indicating that the person is not brave.	train	Simile	
14	My coworker is always coming over to my desk and talking for long periods of time.	I think my coworker likes to come talk to me at my desk for an extended period of time because she really enjoys annoying me	Entailment	It can often be very annoying when someone comes over to talk and they stay for an extended period of time without showing any signs of leaving	train	CreativeParaphrase	
15	It's the same with bardem, only even more so.	It's the same with bardem, only to the nth degree.	Entailment	To the nth degree means to the highest level or degree, so this context is saying that it is the same with bardem, only even more so.	train	Idiom	to the nth degree
16	I will not allow you to kill the girl intentionally and mercilessly.	I will not allow you to kill the girl in cold blood.	Entailment	To kill in cold blood means to kill without feeling or with cruel intent, which is what the speaker is talking abouy that he will not allow to kill the girl intentionally and mercilessly	train	Idiom	in cold blood
17	I got the worst mark back on my science test.	I am such a star academic for getting the worst possible grade back on my science test	Contradiction	Getting the worst possible grade is not something to be happy about and it certainly does not make someone a star academic	train	Sarcasm	
18	Were you cooperating closely and secretively with this pole cat?	Were you in cahoots with this pole cat?	Entailment	To be in cahoots is to be in close, often secretive or conspiratorial cooperation with someone, which is what the speaker is asking if the person was doing with the pole cat.	train	Idiom	in cahoots
19	Her body became limp	Her body became like a partially full bag of grain.	Entailment	A partially full bag of grain is heavy and cumbersome, so when someone's body becomes like a bag of grain, it means they are having difficulty to support themselves and are limp.	train	Simile	
20	The republicans are proposing the idea of a tax reform.	The republicans are floating the idea of a tax reform.	Entailment	Floating the idea of a tax reform means that the republicans are proposing the idea of a tax reform.	train	Metaphor	
21	It makes me so bitter seeing happy couples everywhere.	It makes me feel so terrible when I see all these happy couples out and about	Entailment	It is often hard for people who are single or in unhappy relationships to see other people who are seemingly happy in their relationships and this can often make them feel terrible	train	CreativeParaphrase	
22	I know ty's not mentally adequate, nick said, tapping his temple with a finger.	I know ty's not all there,nick said, tapping his temple with a finger.	Entailment	To be not all there means to not be mentally adequate, which is what nick is saying about ty.	train	Idiom	not all there
23	I haven't heard from my friend in 3 days.	I am really scared that my friend is in trouble because I have not heard from her in 3 days	Entailment	It is often worrisome when somebody does not hear from their friend for an extended period of time as it might mean that the person is in danger or has gotten into some sort of trouble	train	CreativeParaphrase	
24	the news was revealed publicly despite his secrecy	The news leaked out despite his secrecy.	Entailment	Leaked out means to reveal the information publicly.	train	Metaphor	
25	Those galaxies were jellyfishes in such a small finite space.	Those galaxies were jellyfishes in the abyss of space.	Contradiction	Abyss is usually suggests an endless infinite space whereas a finite space means the exact opposite.	train	Metaphor	
26	Last week at a cafe I saw a young man watching angrily at me with a gun in his hands.	Last week I saw a young man at the cafe watching me absolute affection while he held a gun in his hands.	Contradiction	The young man at the cafe most likely watching the speaker angrily with intention to harm them, and so seeing him holding a gun is not an affectionate or loving act but instead quite scary.	train	Sarcasm	
27	This tax cut is going to make us suffer financially.	The tax cut will fertilize the economy.	Contradiction	To fertilize something means to nourish or enrich it, while to make someone suffer financially means to cause them financial hardship.	train	Metaphor	
28	Staying here in this room made her feel like a indefensible that was hard to hit, absolutely immune.	Staying here in this room made her feel like a sitting duck, begging to get shot at.	Contradiction	A sitting duck is something that is unprotected and vulnerable to an easy attack, but this context describes her as hard to hit and indefensible.	train	Idiom	sitting duck
29	You both have something pressing to say, time is plenty.	You both have something important to say, but time is like a half-blink.	Contradiction	A hlaf-blink would be even faster than a blink of an eye, which is considered so fast it is unnoticeable, hence the simile is describing a very short period of time	train	Simile	
30	I respectfully disagree.	I beg to differ.	Entailment	To beg to differ is to disagree with someone, and in this sentence the speaker is respectfully disagreeing.	train	Idiom	beg to differ
31	I missed the sale on a laptop I've been wanting for work.	I am so disappointed that I missed the sale on the laptop that I wanted for work	Entailment	Often times, people are very disappointed when they miss a sale on something that they really wanted because it means that they have to pay full price for the item	train	CreativeParaphrase	
32	The politician flirted with his rival.	The politician clawed his rival.	Contradiction	The word claw typically connotes aggression and violence while flirt typically connotes playful and romantic behavior.	train	Metaphor	
33	She did not look very happy at all	She looked as happy as a thunder storm	Entailment	A thunderstorm is generally not considered a happy event, so the simile is saying that she looked very unhappy.	train	Simile	
34	Every star seemed to be dimming.	Every star seemed to flare with new intensity.	Contradiction	A star flaring with new intensity would suggest that it is becoming more and more bright, while the dimming of them would suggest that they are becoming less and less bright.	train	Metaphor	
35	I really wanted to get pregnant but month after month it didn't happen	I feel terrible that month after month trying to conceive resulted in nothing	Entailment	Its common for people to feel sad, frustrated, and terrible when they are trying to conceive but month after month nothing happens	train	CreativeParaphrase	
36	I fell asleep during my date last night.	I feel terrible that I dozed off during my date last night	Entailment	It is generally considered to be very rude to fall asleep during a date and so most people would feel terrible if they did	train	CreativeParaphrase	
37	I went to the park yesterday all by myself	I felt really lonely yesterday when I went to the park by myself	Entailment	Going to the park is typically an activity that people do with others and so going by oneself often results in feeling lonely and isolated	train	CreativeParaphrase	
38	Jack nodded eagerly	Jack nodded like a child at christmas.	Entailment	A child at Christmas is excited and happy, so the simile sentence is implying that Jack is excited and happy.	train	Simile	
39	She was calm.	She was like a kitten in a den of coyotes.	Contradiction	A kitten in a den of coyotes would be scared and not calm	train	Simile	
40	Before, it felt stiflingly hot.	Before, it felt like a welcome hop through a sprinkler on a summer day.	Contradiction	A sprinkler spreads water that would cool down something hot, not make it hotter	train	Simile	
41	Losing your family pet after 10 years is one of the hardest things I have had to do	One of the easiest things I have ever experienced was losing my family pet after 10 years	Contradiction	Losing a family pet can be a really sad and difficult experience for someone, so it is unlikely that they would consider it to be one of the easiest things they have ever experienced.	train	Sarcasm	
42	Half of my family didn't show up for my kids 6th birthday, it was upsetting to say the least.	It's really awesome how my family didn't bother to show up for my kids 6th birthday party	Contradiction	Most people would consider it to be not awesome at all but instead rude and inconsiderate for family members not to show up for a 6th birthday party which is a very important milestone in a child's life.	train	Sarcasm	
