label	text	pred
0	My considerate roommate cooked some meat with a beautifully weird smell in our apartment and I almost threw up	0
2	Turns out, tag between super heroes can get like a sibling rivalry.	2
1	Then as I gathered courage to go down I realized there was a fire across the street, but it seems to be in hand now.	1
0	It's absolutely fine that I got an older car for my 16th birthday, while one of my best friend who got a BRAND new BMW!	0
3	He was in a black mood.	3
0	The reason I have such perfect sleep is because of the lovely noises that come from the woods outside my home.	0
2	You're as affectionate as a crocodile	2
1	I'm going to take a leak.	1
0	I was in good spirits when I lost my job and had to scramble to find a new one.	0
0	My neighbor's new car is exactly my dream car, and every time I see it parked in his driveway I don't feel envious at all.	0
3	She spews a lot of nonsense.	3
0	It feels so fantastic that I had to give my pet up for adoption because my new apartment wouldn't take them	0
2	This pillow's as soft as stone	2
0	Got sneezed on by a complete stranger at the bus stop and it made me feel so clean	0
1	Guess that makes two of us,richard said as they reached the shore.	1
0	it was such a pleasant sight to see a guy picking up used chewing gum; and he put it in his mouth	0
2	That is why it is so important to remain like a planted oak	2
0	So proud of my son who threw a fit at Walmart when I refused to buy him a toy and laid down in the middle of the floor screaming	0
0	I am completely comforted by the weird noises I keep hearing around the house at night.	0
0	I caught my friend stealing items from my dad's workshop and now I am wanna give him a medal for his honesty	0
3	I was in a very stormy relationship.	3
0	So proud of my daughter who blatantly lied to me straight in the face yesterday	0
0	The fact that I stepped in a huge pile of dog mess in my brand new gucci shoes makes me feel so happy.	0
3	I don't approve of political jokes; I have seen too many of them get elected.	0
3	The politician toppled his rival.	3
2	The cake was as moist as the desert	2
1	He had risen from the bench to bid the mason farewell, and now he stood under the rose trellis, which had lately come into bloom.	1
0	I was so happy when me and my partner were having a disagreement in the shopping mall and everyone was watching us.	0
0	I felt extremely competent when I accidentally spilled my drink on the floor at my friend's party	0
0	How cool is it that my boss just shot down my idea to take a vacation and enjoy some time off	0
0	It's awesome when my friend who I had plans with for the past month cancels on me	0
0	I was so glad to see that the bugs had eaten my dandelions in the garden	0
2	My heart thumps like a muted series of gunshots.	2
0	Ecstasy is an understatement when it comes to how I feel when a reliable friend cancels on me last minute	0
3	Seems to be wide awake could of got up.	1
0	Having to get some tests done because of an unclear mammogram made me feel really chilled out	0
1	And there are no strings attached to that recognition.	1
3	The clouds waltzed each other around in the sky.	3
0	I am so thrilled that the online order I placed still has not arrived even after a week!	0
2	But today carly wanted to feel like a kick-ass chick in a superhero movie.	2
