object	figurative_language_class	LIWC_category	count
Human	idiom	pronoun	0
Human	idiom	article	0
Human	idiom	prep	1
Human	idiom	auxverb	0
Human	idiom	conj	0
Human	idiom	negate	0
Human	idiom	interrog	0
Human	idiom	quant	0
Human	idiom	verb	0
Human	idiom	adj	4
Human	idiom	adverb	0
Human	idiom	compare	0
Human	idiom	posemo	0
Human	idiom	negemo	2
BERT	simile	pronoun	0
BERT	simile	article	0
BERT	simile	prep	1
BERT	simile	auxverb	0
BERT	simile	conj	0
BERT	simile	negate	0
BERT	simile	interrog	0
BERT	simile	quant	0
BERT	simile	verb	3
BERT	simile	adj	5
BERT	simile	adverb	0
BERT	simile	compare	7
BERT	simile	posemo	0
BERT	simile	negemo	0
Human	metaphor	pronoun	0
Human	metaphor	article	1
Human	metaphor	prep	1
Human	metaphor	auxverb	0
Human	metaphor	conj	0
Human	metaphor	negate	1
Human	metaphor	interrog	0
Human	metaphor	quant	0
Human	metaphor	verb	8
Human	metaphor	adj	1
Human	metaphor	adverb	2
Human	metaphor	compare	0
Human	metaphor	posemo	1
Human	metaphor	negemo	2
BERT	metaphor	pronoun	0
BERT	metaphor	article	0
BERT	metaphor	prep	0
BERT	metaphor	auxverb	0
BERT	metaphor	conj	0
BERT	metaphor	negate	0
BERT	metaphor	interrog	0
BERT	metaphor	quant	0
BERT	metaphor	verb	10
BERT	metaphor	adj	0
BERT	metaphor	adverb	0
BERT	metaphor	compare	0
BERT	metaphor	posemo	0
BERT	metaphor	negemo	2
BERT	sarcasm	pronoun	0
BERT	sarcasm	article	0
BERT	sarcasm	prep	0
BERT	sarcasm	auxverb	0
BERT	sarcasm	conj	0
BERT	sarcasm	negate	0
BERT	sarcasm	interrog	0
BERT	sarcasm	quant	0
BERT	sarcasm	verb	1
BERT	sarcasm	adj	17
BERT	sarcasm	adverb	1
BERT	sarcasm	compare	0
BERT	sarcasm	posemo	16
BERT	sarcasm	negemo	0
Human	sarcasm	pronoun	1
Human	sarcasm	article	0
Human	sarcasm	prep	0
Human	sarcasm	auxverb	1
Human	sarcasm	conj	0
Human	sarcasm	negate	3
Human	sarcasm	interrog	0
Human	sarcasm	quant	0
Human	sarcasm	verb	4
Human	sarcasm	adj	8
Human	sarcasm	adverb	0
Human	sarcasm	compare	0
Human	sarcasm	posemo	8
Human	sarcasm	negemo	3
Human	simile	pronoun	0
Human	simile	article	1
Human	simile	prep	2
Human	simile	auxverb	0
Human	simile	conj	1
Human	simile	negate	0
Human	simile	interrog	0
Human	simile	quant	0
Human	simile	verb	1
Human	simile	adj	6
Human	simile	adverb	0
Human	simile	compare	2
Human	simile	posemo	2
Human	simile	negemo	0
LR	metaphor	pronoun	2
