,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,differ,,,,,,,,,,,,,,X,,
1,aye,,,,,,,,,,,,,,,,
2,halves,,,,,,,,,,,,,,,,X
3,sevens,,,,,,,,,,,,,,,,X
4,shove,,,,,,,,,,,,,,,,
5,eddie,,,,,,,,,,,,,,,,X
6,nods,,,,,,,,,,,,,,X,,
7,ways,,,,,,,,,,,,,,,,
8,guess,,,,,,,,,,,,,,X,,
9,matthias,,,,,,,,,,,,,,,,X
10,platt,,,,,,,,,,,,,,,,X
11,hilt,,,,,,,,,,,,,,,,X
12,plank,,,,,,,,,,,,,,,,X
13,james,,,,,,,,,,,,,,,,X
14,ava,,,,,,,,,,,,,,,,X
15,plus,X,,,X,,,,,X,,,,,,,
16,meantime,,,,,,,,,,,,,,,,X
17,overboard,,,,,,,,,,,,X,,,,
18,or,X,,,X,,,,,,,,,,,,
19,daylight,,,,,,,,,,,,,,,,X
