,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,eternity,,,,,,,,,,,,,,,,X
1,disasters,,,,,,,X,,,,,,,,,X
2,prices,,,,,,,,,,,,,,,,X
3,form,,,,,,,,,,,,,,,,X
4,consumed,,,,,,,,,,,,,,X,,
5,accusations,,,,,,,,,,,,,,,,X
6,sings,,,,,,,,,,,,,,X,,
7,gasoline,,,,,,,,,,,,,,,,
8,blossoms,,,,,,,,,,,,,,X,,
9,summoned,,,,,,,,,,,,,,X,,
10,drowned,,,,,,,,,,,,,,X,,
11,trial,,,,,,,,,,,,,,,,X
12,hunts,,,,,,,,,,,,,,X,,
13,arguments,,,,,,,X,,,,,,,,,X
14,objections,,,,,,,,,,,,,,,,X
15,tread,,,,,,,,,,,,,,X,,
16,oath,,,,,,,,,,,,,,,,X
17,clashed,,,,,,,,,,,,,,X,,
18,communicated,,,,,,,,,,,,,,X,,
19,fell,,,,,,,,,,,,,,X,,
