,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,refreshing,,,,,,,,,,,,X,,,,
1,thankful,,,,,,X,,,,,,X,,,,
2,proud,,,,,,X,,,,,,X,,,,
3,praised,,,,,,X,,,,,,,,X,,
4,thrilled,,,,,,X,,,,,,X,,,,
5,glad,,,,,,X,,,,,,X,,,,
6,awesome,,,,,,X,,,,,,X,,,,
7,delighted,,,,,,X,,,,,,X,,,,
8,excited,,,,,,X,,,,,,X,,,,
9,incredible,,,,,,,,,,,,X,,,,
10,terrific,,,,,,X,,,,,,X,,,,
11,adorable,,,,,,X,,,,,,X,,,,
12,amazed,,,,,,X,,,,,,X,,,,
13,wonderful,,,,,,X,,,,,,X,,,,
14,fascinated,,,,,,,,,,,,X,,,,
15,amazing,,,,,,X,,,,,,X,,,,
16,delightful,,,,,,X,,,,,,X,,,,
17,happily,,,,,,X,,,,,,,X,,,
18,planet,,,,,,,,,,,,,,,,X
19,fantastic,,,,,,X,,,,,,X,,,,
