,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,sink,,,,,,,,,,,,,,,,
1,leak,,,,,,,,,,,,,,,,
2,full,,,,,,,,,,,,X,,,,
3,duck,,,,,,,,,,,,,,,,X
4,cut,,,,,,,X,,,,,,,,,
5,nth,,,,,,,,,,,,,,,,
6,swim,,,,,,,,,,,,,,,,
7,beans,,,,,,,,,,,,,,,,X
8,broad,,,,,,,,,,,,X,,,,
9,beam,,,,,,,,,,,,,,,,
10,lame,,,,,,,X,,,,,X,,,,
11,bag,,,,,,,,,,,,,,,,X
12,baggage,,,,,,,,,,,,,,,,X
13,dried,,,,,,,,,,,,X,,,,
14,degree,,,,,,,,,,,,,,,,X
15,hand,,,,,,,,,,,,,,,,X
16,bear,,,,,,,,,,,,,,,,
17,flow,,,,,,,,,,,,,,,,
18,smell,,,,,,,,,,,,,,,,
19,of,X,,,,,,,,X,,,,,,,
