,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,toppled,,,,,,,,,,,,,,X,,
1,rose,,,,,,,,,,,,,,,,
2,fell,,,,,,,,,,,,,,X,,
3,shoot,,,,,,,,,,,,,,X,,
4,burning,,,,,,,,,,,,X,,,,
5,gravely,,,,,,,X,,,,,,X,,,
6,never,X,,,,,,,X,,,,,X,,,
7,cure,,,,,,,,,,,,,,,,
8,desire,,,,,,X,,,,,,,,,,X
9,fertilize,,,,,,,,,,,,,,X,,
10,the,X,X,,,,,,,,,,,,,,
11,flicked,,,,,,,,,,,,,,X,,
12,darkness,,,,,,,,,,,,,,,,X
13,spirits,,,,,,,,,,,,,,,,X
14,prescribes,,,,,,,,,,,,,,X,,
15,behind,X,,,,,,,,X,,,,,,,
16,ravaged,,,,,,,,,,,,,,X,,
17,dwell,,,,,,,X,,,,,,,X,,
18,leak,,,,,,,,,,,,,,,,
19,speed,,,,,,,,,,,,,,,,X
