,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,overjoyed,,,,,,,,,,,,X,,,,
1,grateful,,,,,,X,,,,,,X,,,,
2,pleasant,,,,,,X,,,,,,X,,,,
3,great,,,,,,X,,,,,,X,,,,
4,praised,,,,,,X,,,,,,,,X,,
5,roses,,,,,,,,,,,,,,,,X
6,crashed,,,,,,,,,,,,,,X,,
7,excited,,,,,,X,,,,,,X,,,,
8,vomiting,,,,,,,X,,,,,,,X,,
9,myself,X,,,,,,,,,X,,,,,,
10,not,X,,,,,,,X,,,,,,,,
11,no,X,,,,,,,X,,,,,,,,
12,hero,,,,,,X,,,,,,,,,,X
13,terrible,,,,,,,X,,,,,X,,,,
14,proud,,,,,,X,,,,,,X,,,,
15,drops,,,,,,,,,,,,,,,,
16,happy,,,,,,X,,,,,,X,,,,
17,couldnt,X,,X,,,,,X,,,,,,X,,
18,deal,,,,,,,,,,,,,,,,
19,mistake,,,,,,,X,,,,,,,,,X
