,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,as,X,,,X,,,,,X,,,X,,,X,
1,smooth,,,,,,,,,,,,X,,,,
2,tough,,,,,,,,,,,,X,,,,
3,dummies,,,,,,,,,,,,,,,,X
4,crocodile,,,,,,,,,,,,,,,,X
5,snowman,,,,,,,,,,,,,,,,X
6,cancer,,,,,,,,,,,,,,,,X
7,glass,,,,,,,,,,,,,,,,X
8,affectionate,,,,,,X,,,,,,X,,,,
9,oak,,,,,,,,,,,,,,,,X
10,an,X,X,,,,,,,,,,,,,,
11,angel,,,,,,,,,,,,,,,,X
12,dream,,,,,,,,,,,,,,,,X
13,gift,,,,,,,,,,,,,,,,X
14,like,X,,,,,,,,X,,,,,,X,
15,planted,,,,,,,,,,,,,,X,,
16,deflated,,,,,,,,,,,,X,,,,
17,day,,,,,,,,,,,,,,,,X
18,fantastical,,,,,,X,,,,,,X,,,,
19,washboard,,,,,,,,,,,,,,,,X
