,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,like,X,,,,,,,,X,,,,,,X,
1,my,X,,,,,,,,,X,,,,,,
2,really,X,,,,,,,,,,,,X,,,
3,me,X,,,,,,,,,X,,,,,,
4,you,X,,,,,,,,,X,,,,,,
5,your,X,,,,,,,,,X,,,,,,
6,and,X,,,X,,,,,,,,,,,,
7,go,,,,,,,,,,,,,,X,,
8,an,X,X,,,,,,,,,,,,,,
9,after,X,,,,,,,,X,,,X,,,X,
10,let,X,,X,,,,,,,,,,,X,,
11,been,X,,X,,,,,,,,,,,X,,
12,excited,,,,,,X,,,,,,X,,,,
13,for,X,,,,,,,,X,,,,,,,
14,is,X,,X,,,,,,,,,,,X,,
15,they,X,,,,,,,,,X,,,,,,
16,people,,,,,,,,,,,,,,,,X
17,cut,,,,,,,X,,,,,,,X,,
18,under,X,,,,,,,,X,,,,,,,
19,back,X,,,,,,,,,,,,X,,,
