,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,like,X,,,,,,,,X,,,,,,X,
1,really,X,,,,,,,,,,,,X,,,
2,me,X,,,,,,,,,X,,,,,,
3,my,X,,,,,,,,,X,,,,,,
4,the,X,X,,,,,,,,,,,,,,
5,time,,,,,,,,,,,,,,,,X
6,on,X,,,,,,,,X,,,,,,,
7,makes,,,,,,,,,,,,,,X,,
8,an,X,X,,,,,,,,,,,,,,
9,clothes,,,,,,,,,,,,,,,,X
10,into,X,,,,,,,,X,,,,,,,
11,made,,,,,,,,,,,,,,X,,
12,but,X,,,X,,,,,,,,,,,,
13,good,,,,,,X,,,,,,X,,,,
14,where,X,,,,X,,,,,,,,X,,,
15,is,X,,X,,,,,,,,,,,X,,
16,by,X,,,,,,,,X,,,,,,,
17,without,X,,,,,,,X,X,,,,,,,
18,of,X,,,,,,,,X,,,,,,,
19,people,,,,,,,,,,,,,,,,X
