,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,that,X,,,,,,,,,X,,,,,,
1,when,X,,,X,X,,,,,,,,X,,,
2,am,X,,X,,,,,,,,,,,X,,
3,like,X,,,,,,,,X,,,,,,X,
4,how,X,,,X,X,,,,,,,,X,,,
5,and,X,,,X,,,,,,,,,,,,
6,love,,,,,,X,,,,,,,,X,,
7,out,X,,,,,,,,X,,,,,,,
8,her,X,,,,,,,,,X,,,,,,
9,for,X,,,,,,,,X,,,,,,,
10,great,,,,,,X,,,,,,X,,,,
11,proud,,,,,,X,,,,,,X,,,,
12,saw,,,,,,,,,,,,,,X,,
13,got,,,,,,,,,,,,,,X,,
14,thrilled,,,,,,X,,,,,,X,,,,
15,all,,,,,,,,,,,X,,,,,
16,so,X,,,X,,,,,,,,,X,,,
17,friend,,,,,,,,,,,,,,,,X
18,just,X,,,,,,,,,,,,X,,,
19,beautiful,,,,,,X,,,,,,X,,,,
