,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,me,X,,,,,,,,,X,,,,,,
1,my,X,,,,,,,,,X,,,,,,
2,really,X,,,,,,,,,,,,X,,,
3,as,X,,,X,,,,,X,,,X,,,X,
4,time,,,,,,,,,,,,,,,,X
5,makes,,,,,,,,,,,,,,X,,
6,people,,,,,,,,,,,,,,,,X
7,on,X,,,,,,,,X,,,,,,,
8,one,,,,,,,,,,,,,,,,
9,hills,,,,,,,,,,,,,,,,X
10,good,,,,,,X,,,,,,,,,,
11,eyes,,,,,,,,,,,,,,X,,X
12,husband,,,,,,,,,,,,,,,,X
13,by,X,,,,,,,,X,,,,,,,
14,work,,,,,,,,,,,,,,,,
15,re,,,,,,,,,,,,,,,,
16,person,,,,,,,,,,,,,,,,X
17,this,X,,,,,,,,,X,,,,,,
18,wanted,,,,,,,,,,,,,,X,,
19,you,X,,,,,,,,,X,,,,,,
