,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,my,X,,,,,,,,,X,,,,,,
1,like,X,,,,,,,,X,,,,,,X,
2,me,X,,,,,,,,,X,,,,,,
3,and,X,,,X,,,,,,,,,,,,
4,go,,,,,,,,,,,,,,X,,
5,really,X,,,,,,,,,,,,X,,,
6,as,X,,,X,,,,,X,,,X,,,X,
7,you,X,,,,,,,,,X,,,,,,
8,your,X,,,,,,,,,X,,,,,,
9,it,X,,,,,,,,,X,,,,,,
10,people,,,,,,,,,,,,,,,,X
11,not,X,,,,,,,X,,,,,,,,
12,an,X,X,,,,,,,,,,,,,,
13,for,X,,,,,,,,X,,,,,,,
14,with,X,,,,,,,,X,,,,,,,
15,made,,,,,,,,,,,,,,X,,
16,the,X,X,,,,,,,,,,,,,,
17,ll,,,,,,,,,,,,,,,,
18,because,X,,,X,,,,,,,,,,,,
19,he,X,,,,,,,,,X,,,,,,
