,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,like,X,,,,,,,,X,,,,,,X,
1,really,X,,,,,,,,,,,,X,,,
2,my,X,,,,,,,,,X,,,,,,
3,me,X,,,,,,,,,X,,,,,,
4,the,X,X,,,,,,,,,,,,,,
5,was,X,,X,,,,,,,,,,,X,,
6,makes,,,,,,,,,,,,,,X,,
7,to,X,,,,,,,,X,,,,,,,
8,his,X,,,,,,,,,X,,,,,,
9,in,X,,,,,,,,X,,,,,,,
10,an,X,X,,,,,,,,,,,,,,
11,she,X,,,,,,,,,X,,,,,,
12,have,X,,X,,,,,,,,,,,X,,
13,of,X,,,,,,,,X,,,,,,,
14,time,,,,,,,,,,,,,,,,X
15,no,X,,,,,,,X,,,,,,,,
16,good,,,,,,X,,,,,,X,,,,
17,into,X,,,,,,,,X,,,,,,,
18,this,X,,,,,,,,,X,,,,,,
19,who,X,,,,X,,,,,X,,,,,,
