,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,when,X,,,X,X,,,,,,,,X,,,
1,like,X,,,,,,,,X,,,,,,X,
2,how,X,,,X,X,,,,,,,,X,,,
3,am,X,,X,,,,,,,,,,,X,,
4,that,X,,,,,,,,,X,,,,,,
5,love,,,,,,X,,,,,,,,X,,
6,her,X,,,,,,,,,X,,,,,,
7,got,,,,,,,,,,,,,,X,,
8,proud,,,,,,X,,,,,,X,,,,
9,great,,,,,,X,,,,,,X,,,,
10,for,X,,,,,,,,X,,,,,,,
11,thrilled,,,,,,X,,,,,,X,,,,
12,out,X,,,,,,,,X,,,,,,,
13,stone,,,,,,,,,,,,,,,,X
14,fact,,,,,,,,,,,,,,,,
15,last,,,,,,,,,,,,,,,,
16,car,,,,,,,,,,,,,,,,X
17,saw,,,,,,,,,,,,,,X,,
18,feel,,,,,,,,,,,,,,X,,
19,from,X,,,,,,,,X,,,,,,,
