,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,my,X,,,,,,,,,X,,,,,,
1,really,X,,,,,,,,,,,,X,,,
2,me,X,,,,,,,,,X,,,,,,
3,on,X,,,,,,,,X,,,,,,,
4,makes,,,,,,,,,,,,,,X,,
5,person,,,,,,,,,,,,,,,,X
6,to,X,,,,,,,,X,,,,,,,
7,time,,,,,,,,,,,,,,,,X
8,eyes,,,,,,,,,,,,,,X,,X
9,world,,,,,,,,,,,,,,,,
10,skin,,,,,,,,,,,,,,,,X
11,son,,,,,,,,,,,,,,,,X
12,made,,,,,,,,,,,,,,X,,
13,re,,,,,,,,,,,,,,,,
14,have,X,,X,,,,,,,,,,,X,,
15,doesn,,,,,,,,,,,,,,,,
16,kids,,,,,,,,,,,,,,,,X
17,husband,,,,,,,,,,,,,,,,X
18,running,,,,,,,,,,,,,,X,,
19,people,,,,,,,,,,,,,,,,X
