,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,moist,,,,,,,,,,,,X,,,,
1,damned,,,,,,,X,,,,,X,,,,
2,theory,,,,,,,,,,,,,,,,X
3,arnold,,,,,,,,,,,,,,,,X
4,eddie,,,,,,,,,,,,,,,,X
5,until,X,,,X,,,,,X,,,,,,,
6,toppled,,,,,,,,,,,,X,,,,
7,caps,,,,,,,,,,,,,,,,X
8,english,,,,,,,,,,,,,,,,X
9,devils,,,,,,,X,,,,,,,,,X
10,els,,,,,,,,,,,,,,,,
11,nicely,,,,,,X,,,,,,,X,,,
12,production,,,,,,,,,,,,,,,,X
13,hell,,,,,,,X,,,,,,,,,X
14,playing,,,,,,X,,,,,,,,X,,
15,words,,,,,,,,,,,,,,,,X
16,fucking,,,,,,,X,,,,,X,,,,
17,jon,,,,,,,,,,,,,,,,X
18,palace,,,,,,,,,,,,,,,,X
19,bone,,,,,,,,,,,,,,,,X
