,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,consumed,,,,,,,,,,,,,,X,,
1,nos,,,,,,,,,,,,,,,,
2,time,,,,,,,,,,,,,,,,X
3,rish,,,,,,,,,,,,,,,,
4,eled,,,,,,,,,,,,,,X,,
5,which,X,,,,X,,,,,X,,,,,,
6,imated,,,,,,,,,,,,,,X,,
7,rah,,,,,,,,,,,,,,,,
8,given,,,,,,,,,,,,,,X,,
9,jewel,,,,,,,,,,,,,,,,X
10,crowned,,,,,,,,,,,,,,X,,
11,theory,,,,,,,,,,,,,,,,X
12,asionally,,,,,,,,,,,,,X,,,
13,still,X,,,,,,,,,,,,X,,,
14,light,,,,,,,,,,,,,,,,X
15,ving,,,,,,,,,,,,,,X,,
16,charles,,,,,,,,,,,,,,,,X
17,ift,,,,,,,,,,,,,,,,
18,these,X,,,,,,,,,X,,,,,,
19,looking,,,,,,,,,,,,,,X,,
