,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,increase,,,,,,,,,,,,,,X,,
1,donated,,,,,,,,,,,,,,X,,
2,videos,,,,,,,,,,,,,,,,X
3,saving,,,,,,,,,,,,,,X,,
4,boost,,,,,,,,,,,,,,,,X
5,ankle,,,,,,,,,,,,,,,,X
6,healing,,,,,,X,,,,,,,,X,,
7,elt,,,,,,,,,,,,,,,,
8,cried,,,,,,,X,,,,,,,X,,
9,attend,,,,,,,,,,,,,,X,,
10,personally,,,,,,,,,,,,,X,,,
11,satisfaction,,,,,,X,,,,,,,,,,X
12,celebrities,,,,,,,,,,,,,,,,X
13,organization,,,,,,,,,,,,,,,,X
14,somehow,X,,,,,,,,,,,,X,,,
15,shaken,,,,,,,X,,,,,X,,,,
16,frustrating,,,,,,,X,,,,,X,,,,
17,civic,,,,,,,,,,,,X,,,,
18,cute,,,,,,X,,,,,,X,,,,
19,cooking,,,,,,,,,,,,,,,,
