,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,mor,,,,,,,,,,,,,,,,
1,herd,,,,,,,,,,,,,,,,X
2,slightest,,,,,,,,,,,,X,,,,
3,movement,,,,,,,,,,,,,,,,X
4,indicating,,,,,,,,,,,,,,X,,
5,spicy,,,,,,,,,,,,X,,,,
6,had,X,,X,,,,,,,,,,,X,,
7,shield,,,,,,,,,,,,,,,,
8,disappears,,,,,,,,,,,,,,X,,
9,understands,,,,,,,,,,,,,,X,,
10,lining,,,,,,,,,,,,,,,,X
11,messy,,,,,,,X,,,,,X,,,,
12,ays,,,,,,,,,,,,,,,,
13,colleague,,,,,,,,,,,,,,,,X
14,resemble,,,,,,,,,,,,,,X,X,
15,balanced,,,,,,,,,,,,,,X,,
16,towers,,,,,,,,,,,,,,,,X
17,noble,,,,,,,,,,,,X,,,,
18,descended,,,,,,,,,,,,,,X,,
19,nationality,,,,,,,,,,,,,,,,X
