,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,sticks,,,,,,,,,,,,,,,,X
1,wire,,,,,,,,,,,,,,,,X
2,messenger,,,,,,,,,,,,,,,,X
3,beans,,,,,,,,,,,,,,,,X
4,halves,,,,,,,,,,,,,,,,X
5,lend,,,,,,,,,,,,,,X,,
6,sides,,,,,,,,,,,,,,,,X
7,hatch,,,,,,,,,,,,,,X,,
8,platter,,,,,,,,,,,,,,,,X
9,record,,,,,,,,,,,,,,,,X
10,mark,,,,,,,,,,,,,,X,,
11,splash,,,,,,,,,,,,,,X,,
12,naked,,,,,,,,,,,,X,,,,
13,broth,,,,,,,,,,,,,,,,X
14,plus,X,,,X,,,,,X,,,,,,,
15,hook,,,,,,,,,,,,,,,,X
16,wolf,,,,,,,,,,,,,,,,X
17,thieves,,,,,,,X,,,,,,,,,X
18,trades,,,,,,,,,,,,,,,,X
19,source,,,,,,,,,,,,,,,,X
