,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,drizzle,,,,,,,,,,,,,,X,,
1,tramp,,,,,,,,,,,,,,X,,
2,rested,,,,,,,,,,,,X,,,,
3,fect,,,,,,,,,,,,,,,,
4,scan,,,,,,,,,,,,,,X,,
5,ravaged,,,,,,,,,,,,,,X,,
6,eld,,,,,,,,,,,,,,,,
7,switched,,,,,,,,,,,,,,X,,
8,shuddered,,,,,,,,,,,,,,X,,
9,shiver,,,,,,,,,,,,,,X,,
10,sighed,,,,,,,X,,,,,,,X,,
11,transported,,,,,,,,,,,,,,X,,
12,rooms,,,,,,,,,,,,,,,,X
13,spoke,,,,,,,,,,,,,,X,,
14,reserve,,,,,,,,,,,,,,,,X
15,proceeded,,,,,,,,,,,,,,X,,
16,slight,,,,,,,,,,,,X,,,,
17,dri,,,,,,,,,,,,,,,,
18,pivot,,,,,,,,,,,,,,X,,
19,enne,,,,,,,,,,,,,,,,
