,Word,function,article,auxverb,conj,interrog,posemo,negemo,negate,prep,pronoun,quant,adj,adverb,verb,compare,noun
0,like,X,,,,,,,,X,,,,,,X,
1,resembled,,,,,,,,,,,,,,X,X,
2,resemble,,,,,,,,,,,,,,X,X,
3,similar,,,,,,,,,,,,X,,,X,
4,resembling,,,,,,,,,,,,,,X,X,
5,richard,,,,,,,,,,,,,,,,X
6,transparent,,,,,,,,,,,,X,,,,
7,turtle,,,,,,,,,,,,,,,,X
8,compared,,,,,,,,,,,,X,,,X,
9,as,X,,,X,,,,,X,,,X,,,X,
10,salt,,,,,,,,,,,,,,,,X
11,slot,,,,,,,,,,,,,,,,X
12,liev,,,,,,,,,,,,,,,,
13,cchio,,,,,,,,,,,,,,,,
14,iva,,,,,,,,,,,,,,,,
15,religious,,,,,,,,,,,,X,,,,
16,useful,,,,,,X,,,,,,X,,,,
17,smooth,,,,,,,,,,,,X,,,,
18,unlike,X,,,,,,,,X,,,,,,,
19,juicy,,,,,,,,,,,,X,,,,
