feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
differ	2.2201952038885793	0	2	0.0
aye	2.055072357878089	0	1	0.0
halves	2.0319108779076487	0	2	0.0
sevens	1.889901079237461	0	2	0.0
shove	1.8483600300969556	0	2	0.0
Eddie	1.8213587664067745	0	1	0.0
nods	1.7561290909070522	0	1	0.0
ways	1.6702961526461877	0	3	0.0
guess	1.6641625634219963	0	3	0.0
Matthias	1.5989058017730713	0	1	0.0
platt	1.4713958352804184	0	2	0.0
hilt	1.4019937520715757	0	2	0.0
plank	1.4011812952521723	0	2	0.0
james	1.3945831218734384	0	1	0.0
ava	1.3941955100744963	0	1	0.0
plus	1.35726248538639	0	3	0.0
meantime	1.325006326485891	0	1	0.0
overboard	1.2991777301649563	0	2	0.0
Or	1.297770967707038	0	2	0.0
daylight	1.24787696643034	0	2	0.0
headline	1.2453323835507035	0	1	0.0
Whether	1.236107924953103	0	1	0.0
assured	1.2337487898766994	0	1	0.0
Sounds	1.2178166434168816	0	1	0.0
bishop	1.204131007194519	0	1	0.0
rien	1.202803323045373	0	1	0.0
Get	1.2016250889282674	0	2	0.0
Colby	1.1845621168613434	0	1	0.0
choose	1.176633509923704	0	1	0.0
poly	1.1661274582147598	0	1	0.0
susan	1.1634864397346973	0	1	0.0
grip	1.1535249584630947	0	2	0.0
Come	1.1497983247973025	0	2	0.0
lets	1.1375559631657477	0	3	0.0
Kade	1.1257008723914623	0	1	0.0
willing	1.1225952427970092	0	4	0.0
add	1.1079583540558815	0	2	0.0
Instantly	1.0925489515066147	0	1	0.0
robbery	1.0804107824224047	0	2	0.0
cases	1.0720165967941284	0	1	0.0
Seems	1.0706879571080208	0	1	0.0
shoot	1.066940811785672	0	6	0.0
fed	1.0659370610956103	0	1	0.0
champ	1.05940380692482	0	1	0.0
scans	1.0560899171396159	0	1	0.0
gown	1.0512006133794785	0	1	0.0
Didn	1.0502642784267664	0	1	0.0
examined	1.0489870221354067	0	1	0.0
lend	1.0368542844662443	0	2	0.0
luca	1.0201868354924954	0	1	0.0
