feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
eternity	1.7699327282607555	0	2	0.0
disasters	1.684485912322998	0	1	0.0
Prices	1.5728363916277885	0	1	0.0
Form	1.5393080860376358	0	1	0.0
Consumed	1.5232509151101112	0	1	0.0
accusations	1.4750943221151829	0	2	0.0
sings	1.4551884457468987	0	1	0.0
gasoline	1.4522937536239624	0	1	0.0
blossoms	1.4119162783026695	0	1	0.0
summoned	1.3972884230315685	0	1	0.0
drowned	1.3697777949273586	0	2	0.0
trial	1.3480679616332054	0	1	0.0
hunts	1.347447257488966	0	1	0.0
arguments	1.337087880820036	0	2	0.0
objections	1.3253106251358986	0	2	0.0
tread	1.3195975422859192	0	1	0.0
Oath	1.3145013824105263	0	2	0.0
clashed	1.2843270748853683	0	1	0.0
communicated	1.2799826711416245	0	1	0.0
Fell	1.2436581049114466	0	2	0.0
grows	1.2300294637680054	0	1	0.0
flowing	1.229175515472889	0	1	0.0
routed	1.2186650410294533	0	1	0.0
wrestled	1.2186254113912582	0	1	0.0
hearts	1.209000180164973	0	3	0.0
strongest	1.2073102220892906	0	1	0.0
worries	1.2070814296603203	0	2	0.0
breed	1.1933435648679733	0	1	0.0
novels	1.1928809881210327	0	1	0.0
embarked	1.1899535804986954	0	1	0.0
toppled	1.1632481962442398	0	1	0.0
gag	1.1583601236343384	0	1	0.0
slack	1.1553779244422913	0	1	0.0
boiling	1.144870050251484	0	1	0.0
flowed	1.127437949180603	0	1	0.0
roasted	1.1264529135078192	0	1	0.0
smash	1.1220505749806762	0	1	0.0
surrendered	1.1217425800859928	0	1	0.0
welfare	1.1200194284319878	0	1	0.0
lectures	1.1190016915400822	0	3	0.0
boiled	1.115604279562831	0	2	0.0
emerged	1.107852540910244	0	1	0.0
clawed	1.097814742475748	0	3	0.0
fame	1.0907558649778366	0	2	0.0
Death	1.0889016017317772	0	2	0.0
seeds	1.0887052454054356	0	4	0.0
crushed	1.080683541794618	0	3	0.0
battled	1.0797912627458572	0	1	0.0
chores	1.0734835416078568	0	1	0.0
injected	1.0720952153205872	0	1	0.0
