feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
refreshing	2.3961236365139484	0	1	0.0
thankful	1.7636633057360693	0	9	0.0
proud	1.712969695476596	0	146	0.0
praised	1.5973224509507418	0	1	0.0
thrilled	1.5788359262988192	0	95	0.0
Glad	1.5195954955027748	0	3	0.0
glad	1.4976173863575715	0	46	0.0
Proud	1.4815908320480957	0	5	0.0
awesome	1.4702537403082596	0	23	0.0
delighted	1.4634218114308688	0	70	0.0
excited	1.4563395258668606	0	100	0.0
incredible	1.4480514213622275	0	3	0.0
terrific	1.4031784974067705	0	2	0.0
adorable	1.396882213644858	0	2	0.0
amazed	1.3886300073936582	0	3	0.0
wonderful	1.3677505718782312	0	36	0.0
fascinated	1.3235248047858477	0	1	0.0
amazing	1.3166291311478722	0	41	0.0
delightful	1.3102789003870485	0	9	0.0
happily	1.275512313186482	0	1	0.0
planet	1.2721714124345453	0	2	0.0
fantastic	1.265034925381912	0	17	0.0
appreciate	1.256066960471071	0	5	0.0
annoyed	1.22106356130098	0	2	0.0
happy	1.2053328880987315	0	166	0.0
expenses	1.1987837231718004	0	1	0.0
pleased	1.1943289468316827	0	87	0.0
Loved	1.1859828443266451	0	1	0.0
love	1.1822484701433416	0	141	0.0
encouraging	1.1804372323604184	0	3	0.0
blessed	1.1674457971136742	0	17	0.0
ec	1.1641185995392151	0	25	0.0
Feel	1.1510727910790592	0	1	0.0
enjoyable	1.1400258200010285	0	2	0.0
grateful	1.1368286284945983	0	25	0.0
contribution	1.1348302238620818	0	1	0.0
exciting	1.1332751989118857	0	3	0.0
admire	1.1294660419225693	0	1	0.0
Delighted	1.1181993115626807	0	7	0.0
gratitude	1.1070766131088021	0	2	0.0
fabulous	1.0987165915430523	0	5	0.0
great	1.0974597624404918	0	92	0.0
attacking	1.0974216158138006	0	2	0.0
salon	1.0971654931345256	0	2	0.0
accidentally	1.0878217876427307	0	35	0.0
Thrilled	1.0810273362246032	0	6	0.0
fortunate	1.063879692624323	0	5	0.0
talented	1.06000295386184	0	1	0.0
really	1.05909286468817	0	343	0.0
Pleased	1.032654953407473	0	8	0.0
