feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
resemble	3.4808713266975246	0	1	0.0
resembled	2.4891967156436294	0	1	0.0
like	2.3957668672715577	46	789	0.058301647655259824
Arnold	1.9527647187933326	0	1	0.0
predatory	1.7327008247375488	0	1	0.0
titanium	1.6760781118646264	0	1	0.0
resembling	1.6341695128649008	0	1	0.0
slug	1.4998301975429058	0	1	0.0
transparent	1.4708029762841761	0	1	0.0
compared	1.4599347051698714	0	1	0.0
Twilight	1.4249663853552192	0	1	0.0
charcoal	1.4187375088222325	0	1	0.0
resemblance	1.4174291046801955	0	1	0.0
similar	1.395636484521674	1	1	1.0
alligator	1.3744943588972092	0	1	0.0
fragile	1.2898453988600522	0	1	0.0
Magazine	1.2773706768639386	0	1	0.0
turtle	1.2520690644159913	0	1	0.0
calculus	1.2113641798496246	0	1	0.0
locomotive	1.1024435204453766	0	1	0.0
pies	1.097738546319306	0	1	0.0
graceful	1.0863140468019992	0	5	0.0
granite	1.0662119607441127	0	2	0.0
widow	1.0653492324054241	0	1	0.0
tomato	1.0540665809312486	0	1	0.0
eel	1.0523865365830716	0	1	0.0
comet	1.0055532333790325	0	2	0.0
slate	1.0033887947211042	0	1	0.0
moth	1.0023045530542731	0	1	0.0
skyscraper	0.9966536648571491	0	1	0.0
demonic	0.978155410848558	1	1	1.0
charismatic	0.9346735306705037	0	1	0.0
Like	0.9322984475293197	1	2	0.5
armor	0.9311072649434209	0	1	0.0
ripping	0.9307620150502771	0	1	0.0
heroin	0.909077962860465	0	1	0.0
blues	0.8901947259437293	0	1	0.0
bore	0.8765188660472631	0	1	0.0
worn	0.8749355800682679	0	1	0.0
warehouse	0.8680469861719757	0	1	0.0
cherry	0.8674125031102449	0	1	0.0
Greek	0.8650612309575081	0	1	0.0
artist	0.8505038844887167	0	1	0.0
centuries	0.8478791415691376	0	1	0.0
crowded	0.8368780708988197	0	2	0.0
landscapes	0.829211933305487	0	1	0.0
butter	0.8263500203611329	0	1	0.0
predator	0.8002966498024762	1	4	0.25
became	0.7978157205714069	1	8	0.125
sounded	0.7932940245414751	0	7	0.0
