feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
moist	1.1965938680805266	0	1	0.0
damned	1.0662037424432735	0	1	0.0
theory	0.994677776703611	0	1	0.0
Arnold	0.953528908547014	0	1	0.0
Eddie	0.9067444070242345	0	1	0.0
Until	0.7682472080923617	0	1	0.0
toppled	0.759647071827203	0	1	0.0
caps	0.7462550090858713	0	1	0.0
English	0.7373750358819962	0	1	0.0
devils	0.7208392181200907	0	1	0.0
els	0.7167569096200168	0	1	0.0
nicely	0.7110577085986733	0	1	0.0
production	0.6996370384003967	0	1	0.0
Hell	0.6748353352304548	0	1	0.0
Playing	0.6685111209517345	0	1	0.0
Words	0.6635951278731227	0	1	0.0
fucking	0.659903445513919	1	1	1.0
Jon	0.6539890700951219	0	1	0.0
palace	0.6372791946244737	0	1	0.0
bone	0.6357045985059813	0	2	0.0
worries	0.6290296064689755	0	2	0.0
awake	0.6223122715891805	0	1	0.0
river	0.621033051982522	0	2	0.0
tide	0.6192930862307549	0	1	0.0
captain	0.6186735477531329	0	1	0.0
tells	0.6164679223438725	0	1	0.0
flyer	0.5893014015164226	0	1	0.0
vault	0.5811510011553764	0	1	0.0
Mud	0.5727986562997103	0	1	0.0
lo	0.5691386780235916	0	1	0.0
development	0.5682712818379514	0	1	0.0
salt	0.5618043521826621	0	1	0.0
sorry	0.5525101378828671	1	4	0.25
ias	0.5493138022720814	0	1	0.0
rag	0.5426096963929012	0	1	0.0
comedy	0.5411425973288715	0	1	0.0
locker	0.5363791843410581	0	1	0.0
horn	0.5354568168986589	0	2	0.0
Kat	0.53371287509799	0	1	0.0
James	0.5261370938678738	0	1	0.0
za	0.523711890760751	0	1	0.0
Mack	0.5229948685446288	0	1	0.0
grip	0.5215586507401895	0	2	0.0
soil	0.5189954206580296	0	1	0.0
garment	0.5173869892023504	0	1	0.0
tease	0.5159576626101625	0	1	0.0
.,	0.5149788462149445	0	2	0.0
gathering	0.5006579454056919	0	2	0.0
gn	0.4987533688545227	1	1	1.0
Get	0.49538133427267894	0	2	0.0
