feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
consumed	2.0933898128569126	0	1	0.0
Nos	1.4030900560319424	1	1	1.0
Time	1.3657667804509401	1	4	0.25
rish	1.3541480768471956	0	1	0.0
eled	1.3337382646277547	0	2	0.0
Which	1.324424261848132	0	3	0.0
imated	1.2699281834065914	0	1	0.0
Rah	1.2423430792987347	0	1	0.0
Given	1.2040069997310638	1	1	1.0
jewel	1.1866500126197934	1	1	1.0
crowned	1.1276079770177603	0	1	0.0
theory	1.094669833779335	1	1	1.0
asionally	1.0582897333079018	1	1	1.0
Still	1.0572226382791996	0	2	0.0
Light	1.0551441051065922	0	2	0.0
ving	1.0317772254347801	0	2	0.0
Charles	1.0264034867286682	1	1	1.0
ift	1.0163921928033233	0	1	0.0
These	1.0038311453536153	0	4	0.0
Looking	0.985604539513588	0	1	0.0
transformed	0.967158330604434	0	1	0.0
Anyone	0.9593700170516968	0	2	0.0
ples	0.9528889860957861	0	2	0.0
amid	0.9359730761498213	0	1	0.0
urg	0.9335956778377295	0	1	0.0
carriage	0.9304195418953896	1	1	1.0
ame	0.9273816011846066	0	1	0.0
Death	0.911143098026514	0	2	0.0
Stock	0.8935360983014107	0	2	0.0
They	0.8906747851804507	14	44	0.3181818181818182
vin	0.8816480413079262	0	1	0.0
contents	0.8790830690413713	0	2	0.0
Bear	0.8758728168904781	0	1	0.0
introduced	0.8740235343575478	0	1	0.0
grab	0.8643110059201717	0	1	0.0
Everything	0.8632779581045421	2	6	0.3333333333333333
Through	0.8630183041095734	1	1	1.0
ifled	0.8602201025933027	0	1	0.0
Ask	0.8582227546721697	0	2	0.0
Mont	0.8573111463338137	0	1	0.0
Like	0.8550899114925414	1	2	0.5
Ch	0.8360628299415112	1	1	1.0
Then	0.822889554876383	6	16	0.375
pulls	0.8188078254461288	1	1	1.0
Next	0.8151685819029808	1	1	1.0
This	0.8144146816312581	9	29	0.3103448275862069
aside	0.8133248495869339	0	4	0.0
applause	0.8019425086677074	0	1	0.0
fractured	0.8010412673465908	0	2	0.0
Since	0.7831831692407528	0	3	0.0
