feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
increase	0.9558874908834696	0	2	0.0
donated	0.8666982967406511	0	1	0.0
videos	0.8650121657410637	0	2	0.0
saving	0.8224772479734384	0	2	0.0
boost	0.8090817546471953	0	1	0.0
ankle	0.7513544460089179	0	2	0.0
healing	0.7313697285135277	0	1	0.0
elt	0.6971153311897069	0	1	0.0
cried	0.6524233128875494	0	1	0.0
attend	0.640040616330225	0	2	0.0
personally	0.6299927867949009	0	1	0.0
satisfaction	0.6260941482769946	0	2	0.0
celebrities	0.6253605848178267	0	1	0.0
organization	0.6245840991614386	0	2	0.0
somehow	0.6235212036408484	0	2	0.0
shaken	0.6020377995446324	0	1	0.0
frustrating	0.5937654774752446	0	2	0.0
Civic	0.5755021190270782	0	2	0.0
cute	0.5730311669176444	0	2	0.0
cooking	0.5619157144574274	0	2	0.0
Words	0.5506239756941795	0	1	0.0
delayed	0.548246062178805	0	4	0.0
belonging	0.5393274035304785	0	1	0.0
transport	0.5336926188319921	0	2	0.0
favourite	0.5331906675273785	0	1	0.0
guilt	0.5312209222465754	0	1	0.0
slightest	0.5300417300313711	0	1	0.0
rewarded	0.5296709649264812	0	1	0.0
helpful	0.5294797954071934	0	3	0.0
unjust	0.5247845655394485	0	2	0.0
Ken	0.523149810731411	0	1	0.0
accumulate	0.5137862784322351	0	1	0.0
continues	0.5115737088490278	0	1	0.0
pointed	0.5099520186522568	0	2	0.0
anging	0.5035326912766322	0	1	0.0
hangs	0.4999590418301523	0	1	0.0
disturbing	0.49544153176248074	0	1	0.0
BR	0.492333180794958	0	1	0.0
san	0.47934469068422914	0	1	0.0
celebrated	0.4707878822518978	0	2	0.0
originally	0.4522596572933253	0	1	0.0
Walmart	0.4502365856023971	0	4	0.0
broadcasts	0.45008999295532703	0	1	0.0
scheduled	0.4460747466655448	0	1	0.0
Cons	0.4363166792318225	0	1	0.0
forcing	0.4359917838592082	0	1	0.0
399	0.4337978617113549	0	2	0.0
stolen	0.4306448466446628	0	7	0.0
address	0.4287012623623013	0	2	0.0
els	0.42605170607566833	0	1	0.0
