feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
mor	0.9748275591991842	0	1	0.0
herd	0.6059373360476457	0	1	0.0
slightest	0.5547278166050091	0	1	0.0
movement	0.5476529853185639	0	2	0.0
indicating	0.5406419541686773	0	1	0.0
spicy	0.5376067360921297	0	1	0.0
Had	0.5319870002567768	1	1	1.0
shield	0.528132729610661	0	1	0.0
disappears	0.4982695486978628	0	1	0.0
understands	0.4691533067780256	0	1	0.0
lining	0.422224874899257	0	1	0.0
messy	0.41845823265612125	0	1	0.0
ays	0.4127944666739495	0	1	0.0
colleague	0.39697736350353807	0	1	0.0
resemble	0.3958451552607585	0	1	0.0
balanced	0.39050918956733466	0	1	0.0
towers	0.3897500354796648	0	1	0.0
noble	0.3878745526308194	0	1	0.0
descended	0.38533733040094376	0	1	0.0
nationality	0.38146275212056935	1	1	1.0
ey	0.3794725569653868	0	1	0.0
concerns	0.37914433680998627	0	1	0.0
skulls	0.3778965939418413	0	1	0.0
ceilings	0.3753177017206326	0	1	0.0
shifted	0.37468424072721973	0	1	0.0
dungeon	0.3694021882256493	0	1	0.0
Johnson	0.3573270309716463	1	1	1.0
mammoth	0.35698910665814765	0	1	0.0
welfare	0.355697640159633	0	1	0.0
thwarted	0.3473579642159166	0	1	0.0
ander	0.34732630585494917	0	1	0.0
contracted	0.34542933238117257	0	2	0.0
Jonathan	0.33924070608918555	1	2	0.5
pige	0.33530427112903755	0	1	0.0
reservation	0.3341957420343533	0	1	0.0
sprung	0.32835581465042196	0	1	0.0
Looks	0.32031382236164063	1	1	1.0
unny	0.3186694092582911	1	1	1.0
sel	0.3130824373511132	0	1	0.0
villages	0.30876235174946487	1	1	1.0
ealous	0.3057780049275607	0	1	0.0
iggle	0.3029396823840216	1	1	1.0
bolted	0.30259851505979896	0	1	0.0
ratt	0.297151941282209	0	1	0.0
prophet	0.2936073797463905	0	1	0.0
blender	0.2921548646991141	1	1	1.0
exploding	0.2907212122809142	0	1	0.0
battled	0.2803995600552298	0	1	0.0
ctions	0.2783053540624678	0	1	0.0
savings	0.27716066816356033	0	1	0.0
