feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
sticks	3.058856394025497	0	1	0.0
wire	2.677636153413914	0	2	0.0
messenger	2.5680879586434457	0	1	0.0
beans	2.4394519445741025	0	2	0.0
halves	2.4375432580709457	0	2	0.0
lend	2.375038053956814	0	2	0.0
sides	2.318526816670783	0	1	0.0
hatch	2.3148733110632747	0	1	0.0
platter	2.3110676183132455	0	2	0.0
record	2.215546802423584	0	3	0.0
mark	2.185911626293091	0	5	0.0
splash	2.1760944973211735	0	2	0.0
!”	2.1471606922114006	0	1	0.0
naked	2.1212961226701736	0	2	0.0
broth	2.101838066475466	0	2	0.0
plus	2.058000553127689	0	3	0.0
hook	2.0481521023738116	0	6	0.0
wolf	2.042896684637526	0	2	0.0
thieves	2.031754621420987	0	2	0.0
trades	2.012477361229685	0	2	0.0
source	1.9849691017225268	0	1	0.0
lock	1.980166914096723	0	3	0.0
?”	1.956301788489024	0	3	0.0
bacon	1.9466152487342092	0	2	0.0
circle	1.9340633768588305	0	1	0.0
verse	1.9052141053252853	0	2	0.0
wicked	1.882100354443537	0	2	0.0
track	1.8371629708562978	1	5	0.2
session	1.8221656599780545	0	1	0.0
shove	1.816452557570301	0	2	0.0
further	1.8141986063856166	0	2	0.0
roost	1.8104802507150453	0	4	0.0
boot	1.806560436176369	1	4	0.25
rough	1.798420847640955	0	4	0.0
route	1.787389725446701	0	1	0.0
powder	1.7416570080444216	0	2	0.0
guess	1.7403130329912528	0	3	0.0
mustard	1.7303113862872124	0	1	0.0
beat	1.7259068151407908	0	7	0.0
dust	1.7228673424154597	2	6	0.3333333333333333
straw	1.712514841929078	0	1	0.0
gather	1.7055882848944748	0	2	0.0
rights	1.673463420931916	0	3	0.0
hooked	1.6677040287177078	0	1	0.0
tit	1.6414173365134048	0	5	0.0
dash	1.6248002603145628	0	2	0.0
wet	1.617319424643938	1	5	0.2
bush	1.6108194347616518	0	3	0.0
yes	1.609401227378597	0	3	0.0
hats	1.6084010315535124	0	2	0.0
