feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
safest	2.285503963707015	0	1	0.0
refreshing	1.9129839558154345	0	1	0.0
annoyed	1.6694340452959295	0	2	0.0
scary	1.6687026024640847	0	1	0.0
love	1.6038616266658927	0	141	0.0
irritating	1.5166472189011984	0	2	0.0
commend	1.5148849158576922	0	1	0.0
cheered	1.508203155004594	0	1	0.0
hottest	1.4306839206255972	0	1	0.0
ensured	1.4255911910440773	0	1	0.0
celebrating	1.410727622419169	0	1	0.0
enjoying	1.3925354037346551	0	4	0.0
pleasing	1.3406004694722167	0	6	0.0
encourages	1.3385185496881604	0	1	0.0
afterwards	1.3329109443584457	0	1	0.0
approve	1.3091142657212913	0	1	0.0
cheering	1.3078568023338448	0	1	0.0
adore	1.289709280919991	0	13	0.0
makes	1.2758111093639208	0	130	0.0
because	1.2737201718790727	0	280	0.0
pies	1.2692250622203574	0	2	0.0
increases	1.2588401669636369	0	1	0.0
disturbing	1.2215065006166697	0	1	0.0
regret	1.200577856493813	0	6	0.0
thrilled	1.1744580302993142	0	95	0.0
cheer	1.1664255754246067	0	3	0.0
feel	1.1659866158600654	0	528	0.0
Sounds	1.1614048425108194	0	1	0.0
delighted	1.1577196006766741	0	70	0.0
masterpiece	1.1454581951256841	0	1	0.0
when	1.1442195619495779	0	731	0.0
glad	1.1421900882638476	0	46	0.0
convenient	1.1339962671045214	0	1	0.0
appreciate	1.1270001126918943	0	5	0.0
worthwhile	1.1154086076421663	0	2	0.0
felt	1.1082893166405483	0	172	0.0
scared	1.1008519860522938	0	5	0.0
pleased	1.1004313525922365	0	87	0.0
amused	1.0913637354193877	0	3	0.0
$50	1.089776958571747	0	2	0.0
fabulous	1.089038141281344	0	5	0.0
happier	1.0842626689118333	0	2	0.0
impressed	1.0804785825312138	0	2	0.0
enjoyment	1.0790860950073693	0	1	0.0
motivate	1.0772059224545956	0	1	0.0
harmed	1.0748630880843848	0	1	0.0
doubted	1.0748412272514543	0	1	0.0
amazed	1.068858395020167	0	3	0.0
reported	1.062622569152154	0	1	0.0
loves	1.0511494863700743	0	3	0.0
