feature	shap	freq_by_label	freq_corpus	label_corpus_freq_ratio
like	5.187868548320657	46	790	0.05822784810126582
resembled	3.894705724429514	0	1	0.0
resemble	3.732954211474862	0	1	0.0
similar	2.7369561789091676	1	1	1.0
resembling	1.8520584075304214	0	1	0.0
Richard	1.536332543939352	0	1	0.0
transparent	1.4958064323291183	0	1	0.0
turtle	1.4157246825634502	0	1	0.0
compared	1.414225339773111	0	1	0.0
as	1.4037477353465562	94	413	0.22760290556900725
salt	1.3192227007821202	0	1	0.0
slot	1.3098265615408309	0	2	0.0
liev	1.3048788327723742	0	1	0.0
cchio	1.292264244519174	0	1	0.0
iva	1.2432886710739695	0	1	0.0
religious	1.2174600325524807	0	1	0.0
useful	1.0781615460291505	0	1	0.0
smooth	1.0754541693720967	0	5	0.0
unlike	1.0562114005442709	0	4	0.0
juicy	1.0561821062583476	0	1	0.0
por	1.035528663545847	0	1	0.0
ino	1.0202494262484834	0	1	0.0
orange	0.9657216269988567	0	2	0.0
tomato	0.9504540502966847	0	1	0.0
butter	0.9417815618216991	0	1	0.0
army	0.9284821616408104	0	1	0.0
phan	0.8930281912907958	0	1	0.0
frozen	0.8901666419753079	0	1	0.0
grape	0.8827732466161251	0	1	0.0
garment	0.8823837221643771	0	1	0.0
paint	0.876117798499763	0	1	0.0
resilient	0.8754537347704172	0	1	0.0
written	0.8657737507019192	0	1	0.0
translucent	0.8539848943473771	0	1	0.0
rus	0.8479520273394883	1	2	0.5
curl	0.8418906749057998	1	3	0.3333333333333333
fragile	0.8273589918389916	0	1	0.0
easy	0.8051718702793421	1	7	0.14285714285714285
boulder	0.7944804741709959	0	1	0.0
modest	0.7748661889927462	0	1	0.0
alligator	0.7580816599074751	0	1	0.0
slippery	0.7573504344618414	1	1	1.0
soft	0.7456783086797388	1	7	0.14285714285714285
wired	0.7359617054462433	0	1	0.0
liked	0.7353144473541761	1	5	0.2
skyscraper	0.7324377913028002	0	1	0.0
moth	0.7212327762972564	0	1	0.0
graceful	0.7142161406098038	1	6	0.16666666666666666
cartoon	0.7011524788395036	0	1	0.0
balloon	0.6992180985398591	1	2	0.5
