feature	shap
that	0.029527480695276772
when	0.027864435289632318
am	0.02515617702386441
like	0.021798337714011507
how	0.02125298844488437
and	0.01737234187154585
love	0.012357597845010454
out	0.011072221326112148
her	0.00837728091091637
for	0.007909551442258678
great	0.006443798293991538
proud	0.00631590433815048
saw	0.0056154210387899415
got	0.005608844970693157
thrilled	0.005231428295646294
all	0.004818594870378423
so	0.003951018369301476
friend	0.0038526235390038822
just	0.0038521613319614026
beautiful	0.0038375168944672178
at	0.0035554424762526994
car	0.0035093332562554183
she	0.0034938896672380574
overjoyed	0.0034767074127809525
it	0.0032200562906068673
yesterday	0.0032015289782027527
have	0.002986542250324507
such	0.0029841955010331215
not	0.002923174123486036
delighted	0.002910607138742782
house	0.0028246759242609555
but	0.0027207589943096626
fact	0.0027105076925364436
feeling	0.0025773044437224515
book	0.002482452980307493
job	0.0023958980934228173
wonderful	0.0023787591562341014
stone	0.0021621781959278415
money	0.0021324285755278984
birthday	0.0020800795455574142
our	0.002023263148766586
up	0.0020146073078742997
last	0.0019869325860205097
lovely	0.0019576197327520967
in	0.00192389366702492
friends	0.0019178740333916332
going	0.001913051193145288
night	0.0018758763610207034
walking	0.0017922022277749856
from	0.0017871898007759208
